wall_type,wall_ext_rigid_in,roof_type,roof_deck_rigid_in,window_rsi,window_shgc,slab_rsi,furnace_efficiency_pct,eui_kwh_m2_yr,tedi_kwh_m2_yr,heating_demand_kwh_yr,peak_heating_load_w,peak_cooling_load_w,error
WA2,4.93,RA1,2.4,0.567,0.483,0.492,82.5,55.786766992900816,35.29852987085876,3757.370066061452,5754.295898438,3277.124267578,
WA2,5.96,RA1,0.71,1.188,0.473,2.445,83.8,53.366372145522874,32.158429258949084,2987.5040712788923,5559.791503906,3277.801513672,
WA2,5.45,RA2,1.78,1.03,0.393,1.857,81.0,53.673398503587165,32.396409416806414,3085.161949134796,5522.566894531,3271.113525391,
WA1,3.75,RA1,1.59,0.573,0.308,1.813,82.7,55.52440488859801,34.64561448756302,3673.919273772469,5838.334472656,3317.331298828,
WA2,4.14,RA2,2.82,0.529,0.33,1.099,94.6,53.43255066572582,34.09596246227151,3008.5538760179543,5664.626953125,3281.643310547,
WA1,5.54,RA1,4.73,1.063,0.498,2.824,87.2,52.47222421212255,31.58696250143655,2703.0984179958123,5468.956054688,3276.656005859,
WA1,5.45,RA1,4.96,0.564,0.275,1.165,92.7,53.333531075304336,33.762996415601435,2977.0589215483137,5616.177734375,3277.152587891,
WA2,0.75,RA2,4.13,1.13,0.624,1.676,88.4,55.99953435033141,36.1875067308516,3825.0461186155926,6012.77734375,3349.407470703,
WA1,5.34,RA1,4.41,1.043,0.212,0.957,91.5,53.791823575434606,34.19835336268202,3122.830134998264,5661.231445313,3280.150634766,
WA1,3.46,RA2,4.58,0.658,0.434,1.522,84.7,54.94205722975951,34.51195020085466,3488.690595290953,5761.092773438,3307.999755859,
WA2,5.81,RA2,2.82,0.868,0.344,0.627,82.7,54.72167426203808,34.158762743644324,3418.5918538459846,5615.192871094,3263.103271484,
WA2,1.73,RA2,5.67,1.232,0.448,1.555,85.3,55.14602965653068,34.83478139567129,3553.567982565077,5805.673339844,3316.826416016,
WA2,5.82,RA1,2.43,0.963,0.645,2.093,89.2,52.49682336647073,31.955671251746473,2710.9231249465165,5483.791992188,3267.875732422,
WA2,1.13,RA1,2.17,1.181,0.481,2.364,83.5,56.18310853527156,35.360724420961034,3883.43614671786,5978.223632813,3347.393798828,
WA1,2.63,RA2,4.19,0.609,0.638,1.964,84.1,55.409001409772436,34.79254728664529,3637.2132731875486,5848.642578125,3327.969970703,
WA1,3.31,RA2,3.31,0.584,0.647,2.769,87.8,53.93991487954294,33.41621795737759,3169.9346269803923,5722.004882813,3314.806884766,
WA1,2.99,RA1,4.3,0.958,0.323,2.562,96.7,53.35410921374401,33.87388716310103,2983.604603220217,5771.227539063,3321.166259766,
WA1,3.31,RA2,2.3,1.33,0.429,2.68,94.7,53.46384595987691,33.705362649831514,3018.5072182481395,5763.217773438,3318.635009766,
WA2,2.04,RA2,4.73,0.74,0.201,2.274,94.2,53.360712074438474,33.670395925742575,2985.7044837774524,5717.098632813,3311.674560547,
WA2,2.68,RA1,2.91,0.799,0.543,1.35,95.9,54.104050269775996,35.04802018851582,3222.1405734110463,5817.065917969,3307.080322266,
WA1,3.43,RA1,1.4,1.198,0.22,2.323,92.0,54.29940433169226,34.403184841739254,3284.2776176274224,5851.27734375,3324.843994141,
WA2,5.93,RA2,4.75,1.087,0.268,2.907,82.1,52.10142794538749,30.551025338338057,2585.157608457015,5326.845703125,3256.118896484,
WA2,5.25,RA1,2.64,0.973,0.406,2.264,87.0,52.75507450656071,31.973629114522783,2793.065052234452,5498.28515625,3272.525146484,
WA1,2.82,RA1,5.82,0.805,0.512,2.072,94.5,53.80249075947771,34.320920046681486,3126.2215194454216,5789.541503906,3321.114990234,
WA2,3.76,RA2,5.32,0.939,0.443,1.986,84.0,53.37206886156585,32.497377457777525,2989.3158660025642,5528.732421875,3279.635498047,
WA2,4.48,RA1,2.6,0.589,0.485,2.662,87.5,52.820939874410556,32.017690543389214,2814.015573084546,5532.224609375,3281.399658203,
WA2,0.28,RA1,4.78,0.764,0.369,0.736,89.0,57.94192805883234,38.69414751823032,4443.442657721421,6253.579101563,3368.198486328,
WA1,1.05,RA1,3.66,0.844,0.507,1.669,89.9,57.36048987544946,37.94256314352329,4257.931318406346,6261.3203125,3386.176513672,
WA1,3.83,RA2,2.76,1.1,0.605,1.583,84.9,54.87777761461312,34.401232473521226,3468.2446316634846,5762.731445313,3306.522216797,
